Id        CG/HBCS        CG/ScaleStar
0        10.88        29.82
1        10.86        29.82
2        11.21        29.81
3        10.70        29.89
4        10.83        29.77
5        10.77        29.79
6        10.68        29.76
7        10.72        29.78
8        10.85        29.84
9        10.75        29.76
10        10.66        29.86
11        10.87        29.84
12        10.82        29.77
13        10.69        29.82
14        10.87        29.82
15        11.20        29.85
16        10.92        29.77
17        10.73        29.73
18        10.71        29.81
19        10.85        29.83
20        10.78        29.85
21        10.75        29.79
22        10.69        29.82
23        10.51        29.73
24        10.77        29.79
25        10.75        29.82
26        10.79        29.81
27        10.70        29.76
28        10.77        29.76
29        10.70        29.82
30        10.79        29.76
31        10.70        29.75
32        10.82        29.90
33        10.73        29.79
34        10.77        29.77
35        10.76        29.73
36        10.62        29.81
37        10.74        29.74
38        10.82        29.84
39        10.72        29.87
40        10.97        29.78
41        10.66        29.81
42        10.80        29.79
43        10.64        29.79
44        10.68        29.77
45        10.70        29.79
46        10.71        29.76
47        10.59        29.78
48        10.51        29.82
49        10.70        29.77
