Id        CG/HBCS        CG/ScaleStar
0        12.04        18.09
1        11.87        17.75
2        11.98        17.81
3        11.28        17.33
4        12.10        17.71
5        12.04        18.21
6        12.07        18.15
7        11.72        17.78
8        11.44        17.32
9        11.78        17.91
10        11.70        17.76
11        11.63        17.10
12        12.75        18.06
13        11.61        17.70
14        11.83        17.91
15        11.83        17.71
16        11.31        17.16
17        12.20        17.85
18        11.86        17.78
19        11.97        17.91
20        12.41        17.58
21        12.12        17.88
22        12.16        17.81
23        11.78        17.86
24        12.08        17.75
25        12.23        18.06
26        12.74        18.47
27        11.96        17.84
28        11.98        17.74
29        12.00        17.75
30        11.77        17.71
31        12.09        18.32
32        12.16        18.05
33        11.87        17.62
34        11.51        17.28
35        11.73        17.99
36        11.81        17.52
37        11.34        17.19
38        11.55        17.69
39        11.47        17.66
40        11.73        17.81
41        12.09        17.80
42        11.53        17.44
43        11.57        17.25
44        12.42        17.67
45        11.95        17.99
46        11.93        17.26
47        11.55        17.30
48        11.32        17.52
49        11.74        17.73
