Id        CG/HBCS        CG/ScaleStar
0        6.78        2.53
1        5.34        2.13
2        7.58        2.59
3        2.10        4.60
4        13.03        7.77
5        5.77        4.78
6        9.16        6.02
7        6.85        2.32
8        3.92        3.12
9        6.54        1.80
10        6.77        1.99
11        11.46        10.29
12        -0.54        2.10
13        4.51        1.14
14        10.18        9.57
15        11.82        9.27
16        10.06        2.51
17        4.74        2.84
18        4.05        -1.88
19        2.03        1.39
20        5.88        1.75
21        7.06        6.57
22        6.07        2.81
23        5.88        2.70
24        8.49        1.93
25        5.06        1.86
26        7.14        3.45
27        4.57        4.08
28        5.50        1.75
29        4.02        2.46
30        1.07        1.82
31        5.43        1.73
32        4.82        3.90
33        7.13        3.52
34        -0.55        1.91
35        8.39        4.88
36        10.99        8.85
37        11.61        7.58
38        15.06        8.71
39        10.93        8.11
40        3.34        2.42
41        5.92        1.73
42        9.70        5.33
43        4.31        2.38
44        5.61        4.87
45        5.04        4.90
46        8.44        2.60
47        3.34        1.70
48        8.67        4.99
49        7.33        6.61
