Id        CG/HBCS        CG/ScaleStar
0        10.97        29.15
1        10.67        29.15
2        10.93        29.21
3        10.87        29.23
4        10.82        29.19
5        10.84        29.16
6        11.08        29.19
7        10.80        29.22
8        11.05        29.15
9        10.85        29.12
10        10.90        29.12
11        10.84        29.19
12        10.80        29.18
13        10.73        29.14
14        10.92        29.13
15        10.89        29.22
16        10.83        29.15
17        10.92        29.12
18        11.33        29.19
19        10.86        29.15
20        10.86        29.18
21        10.78        29.24
22        10.80        29.19
23        10.77        29.15
24        10.83        29.29
25        10.96        29.17
26        10.91        29.13
27        10.86        29.20
28        10.89        29.13
29        10.86        29.16
30        10.81        29.26
31        10.86        29.09
32        10.93        29.13
33        10.85        29.21
34        10.90        29.19
35        10.78        29.20
36        10.77        29.29
37        10.85        29.22
38        10.87        29.26
39        10.99        29.18
40        10.91        29.18
41        11.06        29.12
42        10.77        29.23
43        10.80        29.12
44        10.76        29.18
45        10.78        29.17
46        10.90        29.12
47        10.88        29.18
48        11.11        29.15
49        10.72        29.21
