Id        CG/HBCS        CG/ScaleStar
0        11.21        24.76
1        11.52        24.88
2        11.36        25.02
3        11.19        24.89
4        11.45        24.91
5        11.27        24.81
6        11.52        24.94
7        11.22        24.83
8        11.16        24.79
9        11.44        24.97
10        11.44        24.90
11        11.68        24.82
12        11.39        24.88
13        11.45        24.90
14        11.40        24.83
15        11.39        24.89
16        11.48        24.99
17        11.47        24.77
18        11.43        24.92
19        11.22        24.78
20        11.24        24.86
21        11.40        24.81
22        11.28        24.92
23        11.46        24.99
24        11.30        24.78
25        11.26        24.97
26        11.16        24.79
27        11.44        24.84
28        11.46        24.87
29        12.05        25.04
30        11.53        24.86
31        11.36        24.94
32        11.44        24.79
33        11.41        24.86
34        11.57        25.07
35        12.02        24.93
36        11.39        24.86
37        11.48        24.91
38        11.25        24.87
39        11.24        24.79
40        11.43        24.84
41        11.42        24.87
42        11.44        24.83
43        11.35        24.76
44        11.32        24.95
45        11.51        24.82
46        11.42        24.96
47        11.36        24.93
48        11.33        24.97
49        11.14        24.87
