Id        CG/HBCS        CG/ScaleStar
0        12.54        21.30
1        11.87        21.26
2        11.56        21.23
3        11.57        21.20
4        11.51        21.17
5        11.40        21.19
6        11.67        21.27
7        11.66        21.21
8        11.67        21.20
9        11.59        21.25
10        11.60        21.19
11        11.67        21.22
12        11.61        21.24
13        11.89        21.29
14        11.53        21.28
15        11.67        21.11
16        11.30        21.11
17        11.60        21.22
18        11.79        21.34
19        11.75        21.30
20        11.53        21.34
21        11.30        21.36
22        11.61        21.25
23        11.74        21.25
24        11.27        21.18
25        11.72        21.18
26        11.65        21.24
27        11.77        21.24
28        11.85        21.19
29        11.57        21.23
30        11.77        21.20
31        11.88        21.25
32        10.99        21.03
33        11.75        21.16
34        11.30        21.28
35        11.77        21.20
36        11.53        21.10
37        11.70        21.28
38        11.87        21.21
39        11.57        21.18
40        11.98        21.10
41        11.62        21.17
42        11.30        21.08
43        11.84        21.15
44        11.69        21.22
45        11.70        21.27
46        11.82        21.23
47        11.42        21.31
48        11.46        21.18
49        11.74        21.29
