Id        CG/HBCS        CG/ScaleStar
0        10.91        28.41
1        10.94        28.40
2        11.34        28.40
3        10.82        28.46
4        10.85        28.38
5        10.61        28.41
6        10.84        28.40
7        10.85        28.42
8        10.86        28.41
9        10.71        28.42
10        10.91        28.39
11        10.73        28.41
12        11.05        28.41
13        10.78        28.52
14        10.92        28.43
15        11.46        28.44
16        10.62        28.44
17        10.78        28.45
18        10.93        28.44
19        10.68        28.47
20        10.90        28.42
21        10.86        28.39
22        11.01        28.44
23        10.91        28.49
24        10.96        28.35
25        10.73        28.41
26        11.19        28.43
27        10.99        28.45
28        10.57        28.45
29        10.86        28.38
30        10.88        28.45
31        10.70        28.49
32        10.69        28.41
33        10.71        28.45
34        10.76        28.45
35        10.94        28.50
36        10.64        28.41
37        10.95        28.54
38        10.67        28.38
39        11.48        28.43
40        10.76        28.44
41        10.75        28.50
42        10.86        28.39
43        10.84        28.46
44        10.63        28.42
45        10.95        28.51
46        10.93        28.51
47        11.27        28.46
48        10.88        28.56
49        10.86        28.38
