Id        CG/HBCS        CG/ScaleStar
0        12.11        16.02
1        11.35        15.82
2        11.61        15.72
3        11.85        16.19
4        12.86        16.09
5        11.84        16.10
6        11.36        15.64
7        11.29        15.93
8        12.12        16.07
9        12.14        16.16
10        11.86        16.24
11        11.72        15.80
12        13.00        16.35
13        11.65        15.92
14        11.78        15.74
15        12.46        16.07
16        12.05        16.16
17        11.47        16.02
18        12.05        15.80
19        11.98        16.24
20        11.66        15.87
21        11.05        15.54
22        11.94        16.05
23        12.17        16.04
24        11.78        16.15
25        11.97        15.73
26        11.68        15.82
27        11.74        16.21
28        11.94        16.14
29        11.93        16.18
30        12.10        16.02
31        11.85        16.05
32        11.87        16.17
33        11.71        16.14
34        11.68        16.13
35        11.76        16.05
36        12.62        16.15
37        11.70        15.93
38        12.10        16.13
39        12.10        16.24
40        12.21        16.08
41        11.86        16.21
42        12.25        16.10
43        12.12        16.21
44        12.20        15.76
45        11.91        16.17
46        11.11        15.57
47        12.00        16.11
48        11.84        16.03
49        12.19        16.05
