Id        CG/HBCS        CG/ScaleStar
0        11.91        19.69
1        11.94        19.75
2        12.22        19.66
3        12.04        19.70
4        12.08        19.78
5        11.90        19.53
6        12.14        19.52
7        12.06        19.61
8        11.57        19.55
9        12.16        19.55
10        11.95        19.55
11        11.91        19.55
12        12.28        19.66
13        11.99        19.59
14        11.65        19.61
15        12.03        19.55
16        11.88        19.57
17        11.59        19.51
18        12.71        19.71
19        11.85        19.50
20        11.62        19.74
21        11.82        19.52
22        11.95        19.61
23        11.90        19.61
24        11.97        19.59
25        11.90        19.58
26        11.61        19.63
27        12.03        19.59
28        11.77        19.47
29        12.13        19.55
30        11.78        19.66
31        11.66        19.70
32        11.81        19.56
33        11.90        19.75
34        11.87        19.60
35        12.05        19.55
36        12.06        19.46
37        11.86        19.71
38        11.92        19.74
39        11.83        19.66
40        12.24        19.72
41        12.78        19.77
42        11.88        19.60
43        12.13        19.68
44        12.07        19.73
45        11.71        19.52
46        12.04        19.64
47        11.73        19.59
48        12.00        19.71
49        11.85        19.43
