Id        CG/HBCS        CG/ScaleStar
0        10.88        27.59
1        10.81        27.60
2        10.67        27.54
3        10.72        27.60
4        10.87        27.62
5        11.00        27.61
6        10.83        27.66
7        11.21        27.57
8        10.79        27.49
9        11.26        27.62
10        10.88        27.64
11        11.01        27.62
12        10.83        27.57
13        10.71        27.64
14        11.62        27.59
15        10.89        27.62
16        11.24        27.52
17        10.75        27.60
18        10.78        27.69
19        10.69        27.63
20        10.90        27.55
21        10.72        27.58
22        10.85        27.57
23        10.67        27.70
24        11.30        27.66
25        10.84        27.63
26        10.88        27.62
27        11.31        27.66
28        10.99        27.64
29        10.68        27.61
30        10.64        27.67
31        10.75        27.51
32        10.91        27.52
33        10.75        27.68
34        10.95        27.56
35        11.38        27.59
36        10.64        27.62
37        10.89        27.56
38        11.01        27.67
39        10.71        27.55
40        10.78        27.65
41        10.90        27.61
42        11.05        27.50
43        10.73        27.59
44        10.75        27.64
45        10.53        27.58
46        11.03        27.59
47        10.68        27.56
48        11.43        27.70
49        10.79        27.59
