Id        CG/HBCS        CG/ScaleStar
0        10.81        30.98
1        10.56        31.00
2        10.47        31.02
3        10.18        30.99
4        10.21        30.95
5        10.30        30.96
6        10.44        30.98
7        10.26        30.90
8        10.33        31.04
9        10.37        30.96
10        10.15        30.91
11        10.42        30.99
12        10.23        30.95
13        10.77        31.08
14        10.68        31.00
15        10.22        30.93
16        10.72        30.98
17        10.65        30.93
18        10.27        30.95
19        10.30        30.97
20        10.38        30.96
21        10.39        30.89
22        10.22        30.98
23        10.06        30.95
24        10.30        30.98
25        10.40        30.98
26        10.37        30.98
27        10.23        31.00
28        10.33        30.95
29        10.23        30.93
30        10.10        30.96
31        10.52        31.05
32        10.31        30.95
33        10.26        30.95
34        10.19        30.95
35        10.24        30.97
36        10.79        30.95
37        10.46        30.89
38        10.20        30.95
39        10.33        30.94
40        10.26        30.97
41        10.19        30.88
42        10.22        30.99
43        10.35        30.94
44        10.18        30.93
45        10.48        30.99
46        10.42        31.00
47        10.26        30.90
48        10.92        31.05
49        10.24        30.96
