Id        CG/HBCS        CG/ScaleStar
0        11.35        14.30
1        11.35        13.96
2        11.44        14.04
3        11.21        14.12
4        11.60        13.95
5        11.79        13.82
6        11.50        14.04
7        11.58        14.39
8        10.97        14.01
9        11.89        14.02
10        11.53        14.20
11        11.60        13.89
12        11.12        14.05
13        11.38        14.03
14        11.18        13.72
15        10.77        14.07
16        11.76        13.97
17        11.37        13.84
18        12.18        13.87
19        13.00        13.79
20        12.05        14.02
21        11.61        13.72
22        10.90        13.96
23        11.99        14.04
24        11.43        13.98
25        11.67        14.14
26        11.69        13.95
27        11.25        14.06
28        11.32        13.75
29        11.80        14.07
30        11.81        13.95
31        11.93        14.20
32        11.18        13.98
33        11.63        14.08
34        11.50        14.17
35        11.71        13.78
36        11.29        13.88
37        10.39        13.48
38        11.74        13.87
39        11.71        14.01
40        11.25        13.92
41        11.33        14.11
42        11.56        14.13
43        11.34        13.84
44        11.37        14.07
45        11.45        13.91
46        11.70        13.92
47        12.29        14.10
48        11.91        13.71
49        11.04        13.94
