Id        CG/HBCS        CG/ScaleStar
0        14.89        8.56
1        12.08        7.30
2        15.64        8.83
3        10.49        8.34
4        11.77        10.31
5        13.07        12.03
6        9.09        6.76
7        15.38        13.95
8        5.92        7.03
9        13.66        13.16
10        14.73        11.57
11        14.67        9.27
12        14.58        7.60
13        7.27        5.52
14        13.03        12.65
15        4.48        -0.46
16        10.85        9.14
17        9.13        5.69
18        6.76        4.90
19        14.24        11.99
20        10.22        6.88
21        14.14        12.51
22        10.20        9.15
23        16.23        8.71
24        9.84        7.19
25        14.19        9.44
26        11.17        9.68
27        10.93        9.19
28        10.46        6.46
29        13.54        13.69
30        7.06        5.77
31        12.40        11.39
32        11.53        6.39
33        14.14        11.99
34        14.23        11.43
35        13.77        12.41
36        11.72        7.71
37        10.42        6.81
38        10.91        9.26
39        12.48        6.97
40        6.44        2.94
41        11.72        8.02
42        12.93        9.08
43        10.79        7.45
44        9.35        12.97
45        8.22        5.72
46        14.42        11.97
47        11.79        9.88
48        9.06        4.45
49        10.91        9.83
