Id        CG/HBCS        CG/ScaleStar
0        11.12        26.60
1        10.96        26.63
2        11.12        26.69
3        10.84        26.60
4        10.98        26.68
5        10.95        26.74
6        10.94        26.84
7        11.77        26.74
8        10.89        26.73
9        11.09        26.69
10        11.10        26.70
11        11.01        26.75
12        11.07        26.71
13        11.00        26.71
14        10.99        26.65
15        10.88        26.69
16        11.05        26.68
17        10.99        26.71
18        10.84        26.71
19        11.58        26.82
20        11.10        26.70
21        11.05        26.73
22        10.97        26.73
23        11.12        26.71
24        10.86        26.79
25        11.18        26.69
26        10.87        26.61
27        11.04        26.73
28        11.14        26.70
29        10.95        26.71
30        11.02        26.73
31        11.05        26.68
32        11.22        26.58
33        11.08        26.64
34        10.83        26.68
35        10.84        26.67
36        11.55        26.77
37        11.19        26.68
38        10.91        26.78
39        10.86        26.69
40        10.77        26.79
41        10.97        26.72
42        10.84        26.72
43        10.94        26.68
44        11.43        26.76
45        11.08        26.68
46        11.18        26.76
47        11.07        26.66
48        11.11        26.68
49        11.02        26.70
