Id        CG/HBCS        CG/ScaleStar
0        10.59        11.57
1        10.68        11.55
2        10.21        11.52
3        10.96        11.94
4        10.56        11.55
5        10.97        11.54
6        11.28        11.74
7        10.90        11.38
8        10.57        11.49
9        10.81        11.52
10        10.34        11.36
11        10.26        11.48
12        11.53        11.54
13        9.79        11.44
14        10.02        11.65
15        10.23        11.60
16        11.33        11.43
17        11.97        11.48
18        9.69        11.26
19        10.50        11.48
20        10.77        11.57
21        10.58        11.10
22        10.77        11.46
23        10.60        11.53
24        11.08        11.42
25        10.95        11.41
26        11.21        11.61
27        10.96        11.24
28        10.82        11.50
29        10.39        11.48
30        10.94        11.28
31        10.95        11.39
32        12.12        11.40
33        10.14        11.32
34        10.78        11.49
35        10.69        11.49
36        10.61        11.37
37        10.33        11.38
38        11.20        11.55
39        11.31        11.49
40        11.09        11.39
41        11.33        11.49
42        11.82        11.48
43        10.55        11.71
44        11.01        11.45
45        10.55        11.40
46        10.76        11.59
47        11.23        11.66
48        10.88        11.62
49        11.11        11.59
