Id        CG/HBCS        CG/ScaleStar
0        9.27        8.66
1        10.24        8.78
2        9.56        8.47
3        9.01        8.42
4        9.07        8.68
5        9.37        8.63
6        8.85        8.73
7        10.11        8.53
8        9.04        8.41
9        8.60        8.73
10        9.82        8.78
11        9.01        8.66
12        10.68        8.78
13        8.91        8.77
14        9.59        8.56
15        9.61        8.69
16        9.16        8.53
17        8.49        8.66
18        9.54        8.80
19        9.82        8.63
20        9.92        8.78
21        9.28        8.81
22        8.50        8.50
23        9.38        8.73
24        9.28        8.53
25        9.99        8.89
26        8.16        8.73
27        9.71        8.86
28        9.27        8.89
29        9.25        8.75
30        9.51        9.01
31        9.74        8.81
32        8.85        8.59
33        9.39        8.86
34        9.56        8.97
35        8.15        8.78
36        8.77        8.96
37        9.24        8.68
38        9.31        8.60
39        8.61        8.62
40        9.26        9.37
41        8.98        8.64
42        8.62        8.87
43        9.72        8.60
44        8.92        8.72
45        8.77        8.56
46        9.09        8.60
47        9.42        8.59
48        9.63        8.47
49        8.95        8.68
