Id        CG/HBCS        CG/ScaleStar
0        11.46        23.74
1        11.46        23.68
2        11.65        23.71
3        11.45        23.82
4        11.47        23.79
5        11.05        23.73
6        11.43        23.78
7        11.56        23.79
8        11.64        23.79
9        11.21        23.73
10        11.41        23.93
11        11.62        23.72
12        11.49        23.72
13        11.27        23.81
14        11.05        23.77
15        11.29        23.75
16        11.26        23.83
17        11.41        23.80
18        11.47        23.76
19        11.28        23.73
20        11.28        23.75
21        11.47        23.81
22        11.71        23.69
23        11.56        23.76
24        11.26        23.87
25        11.50        23.77
26        11.33        23.76
27        11.42        23.77
28        11.65        23.75
29        11.42        23.82
30        11.60        23.71
31        11.53        23.81
32        11.43        23.75
33        11.28        23.80
34        11.24        23.90
35        11.15        23.73
36        11.44        23.75
37        11.81        23.81
38        11.48        23.91
39        11.12        23.85
40        11.10        23.75
41        11.37        23.75
42        11.41        23.79
43        11.72        23.74
44        11.38        23.90
45        11.35        23.80
46        11.53        23.79
47        11.57        23.79
48        11.52        23.90
49        11.27        23.75
