Id        CG/HBCS        CG/ScaleStar
0        11.62        22.49
1        11.25        22.44
2        11.63        22.45
3        11.46        22.46
4        11.45        22.44
5        11.25        22.44
6        11.85        22.48
7        12.62        22.52
8        12.05        22.52
9        11.77        22.57
10        11.63        22.51
11        11.58        22.47
12        11.20        22.37
13        11.63        22.50
14        11.20        22.49
15        11.44        22.59
16        11.75        22.56
17        11.71        22.48
18        11.29        22.48
19        11.79        22.63
20        11.36        22.46
21        12.14        22.49
22        11.77        22.48
23        12.05        22.45
24        11.77        22.47
25        11.63        22.42
26        11.53        22.54
27        11.70        22.53
28        11.80        22.38
29        11.29        22.54
30        11.25        22.65
31        11.78        22.41
32        11.29        22.56
33        11.31        22.53
34        11.93        22.47
35        11.37        22.51
36        11.81        22.58
37        11.47        22.56
38        12.11        22.51
39        11.46        22.41
40        12.01        22.54
41        11.51        22.49
42        11.55        22.47
43        11.79        22.47
44        11.68        22.48
45        12.32        22.46
46        11.69        22.56
47        11.46        22.47
48        12.24        22.45
49        11.46        22.53
