Id        CG/HBCS        CG/ScaleStar
0        10.51        30.40
1        10.58        30.30
2        10.63        30.45
3        10.44        30.38
4        10.78        30.42
5        10.64        30.38
6        10.67        30.40
7        10.44        30.36
8        10.60        30.51
9        10.53        30.42
10        10.42        30.35
11        10.56        30.36
12        10.61        30.46
13        10.46        30.43
14        11.19        30.38
15        10.55        30.47
16        10.61        30.37
17        11.20        30.38
18        10.40        30.45
19        10.69        30.41
20        10.68        30.36
21        10.71        30.46
22        10.53        30.43
23        10.55        30.43
24        10.69        30.49
25        10.68        30.37
26        10.58        30.38
27        10.49        30.40
28        10.45        30.44
29        10.67        30.39
30        10.95        30.41
31        10.39        30.45
32        10.67        30.44
33        10.67        30.47
34        10.96        30.39
35        10.56        30.32
36        10.35        30.44
37        10.57        30.37
38        10.64        30.45
39        11.05        30.46
40        10.65        30.38
41        10.57        30.41
42        10.56        30.40
43        10.73        30.41
44        10.99        30.35
45        10.70        30.42
46        10.56        30.38
47        10.56        30.42
48        10.42        30.43
49        10.62        30.40
