cost        CG2        HBCS        ScaleStar        OPT
1        107.2        107.36        94.82        94.66
2        86.72        94.78        82.24        82.12
3        74.18        82.24        82.24        74.18
4        61.64        88.55        61.8        61.64
5        61.64        76.01        61.8        61.64
6        61.64        75.94        55.46        55.37
7        51.4        69.74        55.53        51.4
8        51.4        69.68        49.2        49.1
9        57.67        49.24        49.24        49.1
10        57.67        49.18        49.18        45.13
11        57.67        49.17        47.08        45.13
12        38.86        49.17        38.93        38.86
13        38.86        38.95        38.95        38.86
14        38.86        38.93        36.84        36.77
15        38.86        38.93        36.84        36.77
16        35.45        38.93        34.75        34.68
17        52.16        35.58        34.82        34.68
18        52.16        35.51        34.75        33.36
19        52.16        35.51        34.75        33.36
20        31.27        31.27        34.68        31.27
