cost        CG2        HBCS        ScaleStar        OPT
1        132.1        132.22        132.22        132.1
2        111.32        111.48        111.48        110.94
3        110.94        111.41        97.22        96.74
4        96.74        90.31        90.31        90.15
5        75.96        101.08        76.12        75.96
6        75.96        79.92        76.12        75.96
7        65.57        79.85        65.66        65.57
8        65.57        65.68        65.68        65.38
9        86.16        65.63        65.63        65.38
10        86.16        69.32        58.61        58.28
11        79.06        69.25        55.06        54.98
12        79.06        55.06        55.06        54.98
13        47.89        65.79        48.02        47.89
14        47.89        51.59        48.02        47.89
15        79.06        51.52        45.59        45.52
16        44.42        44.5        44.5        44.36
17        75.53        44.43        42.07        41.99
18        75.53        42.09        42.09        41.99
19        73.17        42.06        42.06        40.9
20        38.53        38.53        41.99        38.53
