cost        CG2        HBCS        ScaleStar        OPT
1        56.1        56.26        54.73        54.57
2        47.26        53.96        45.89        45.73
3        44.96        45.12        45.12        41.1
4        44.96        45.12        32.42        32.26
5        44.96        45.06        31.59        31.49
6        31.24        40.7        31.65        29.37
7        29.37        40.68        31.63        27.05
8        29.37        40.64        27.17        25.52
9        26.82        27.21        27.21        24.76
10        26.82        27.17        27.17        22.63
11        22.63        27.14        20.4        20.34
12        22.63        27.14        20.4        20.34
13        20.08        20.47        20.47        20.08
14        20.08        20.41        20.41        19.63
15        20.08        20.4        20.4        18.86
16        18.61        20.4        20.4        18.09
17        18.61        18.23        20.47        17.84
18        18.61        18.16        20.41        17.38
19        18.91        18.16        20.4        16.62
20        16.36        16.36        20.34        16.36
