cost        CG2        HBCS        ScaleStar        OPT
1        48.4        48.3        46.18        46.02
2        46.02        48.3        46.18        45.76
3        46.02        45.92        44.59        44.43
4        45.6        30.37        28.24        28.08
5        28.08        30.37        28.24        27.83
6        28.08        27.99        26.66        26.5
7        27.66        27.97        26.63        26.12
8        27.66        27.84        26.63        26.07
9        27.66        26.25        26.63        26.07
10        27.66        26.21        26.59        19.12
11        19.12        26.19        19.19        18.86
12        17.93        21.25        17.67        17.53
13        17.93        21.25        17.67        17.28
14        17.5        18.87        17.67        17.11
15        17.5        17.28        17.67        17.11
16        17.5        17.24        17.62        17.11
17        17.5        17.22        17.6        15.87
18        17.5        18.26        14.68        14.54
19        14.94        18.26        14.68        14.29
20        14.12        14.12        14.54        14.12
