cost        CG2        HBCS        ScaleStar
2        327        327        327
3        327        327        327
4        197.8        197.8        197.8
5        188.02        327        188.02
6        188.02        327        188.02
7        188.02        188.02        188.02
8        188.02        188.02        188.02
9        186.75        157.85        188.02
10        124.7        124.7        124.7
11        119.18        119.18        124.7
12        119.18        135.75        124.7
13        118.54        121.02        118.54
14        118.54        119.18        118.54
15        118.54        135.75        104.02
16        98.49        98.49        104.02
17        98.49        137.17        104.02
18        95.38        104.02        104.02
19        95.38        98.49        104.02
20        95.38        98.49        104.02
21        88.15        88.15        104.02
