cost        CG2        HBCS        ScaleStar
2        763.58        763.58        763.58
3        605.05        737.86        605.05
4        468.62        579.34        468.62
5        442.91        442.91        442.91
6        434.34        442.91        434.34
7        389.36        500.08        374.7
8        363.65        363.65        363.65
9        321.15        473.65        355.08
10        295.44        337.23        295.44
11        286.87        337.23        286.87
12        272.7        337.23        286.87
13        260.45        269.02        260.45
14        256.16        269.02        260.45
15        246.28        246.28        260.45
16        237.71        246.28        237.71
17        233.42        234.91        237.71
18        224.5        234.91        237.71
19        220.21        234.91        237.71
20        220.21        234.91        237.71
21        208.84        208.84        237.71
