cost        CG2        HBCS        ScaleStar        OPT
1        66.44        69.54        69.54        66.44
2        66.44        60.78        60.78        60.62
3        75.2        66.62        57.87        52
4        62.07        57.87        43.4        43.24
5        57.82        57.8        43.33        43.24
6        44.68        53.49        40.49        40.33
7        38.86        53.45        39.47        38.86
8        38.86        53.43        36.04        34.55
9        38.86        53.4        36.02        34.55
10        38.86        36.04        35.07        31.64
11        49.13        36.02        35.05        30.17
12        49.13        36.02        27.33        27.26
13        34.53        27.4        26.43        26.29
14        34.53        27.35        26.38        26.29
15        25.8        27.33        26.36        25.8
16        25.8        27.33        26.36        24.36
17        25.8        24.5        23.53        23.39
18        25.8        24.46        23.49        23.39
19        22.9        24.43        23.46        22.9
20        21.93        21.93        23.39        21.93
