cost        CG2        HBCS        ScaleStar        OPT
1        121.1        121.22        121.22        121.1
2        103.12        104.43        104.43        103.12
3        86.46        87.77        87.77        86.29
4        69.63        87.7        69.73        69.63
5        69.63        95.97        69.75        69.63
6        69.63        79.35        69.79        69.63
7        69.63        79.28        61.3        60.64
8        60.64        61.31        61.31        60.64
9        69.14        71        61.35        60.64
10        69.14        70.94        52.96        52.23
11        69.14        52.98        52.98        52.23
12        69.14        52.95        50.15        49.42
13        43.9        52.95        43.96        43.9
14        43.9        43.97        43.97        43.9
15        43.9        43.96        41.16        41.09
16        40.9        41.04        41.23        40.9
17        63.37        40.98        41.17        40.9
18        63.37        40.97        38.38        38.1
19        63.37        40.97        38.38        38.1
20        35.32        35.32        38.32        35.32
