cost        CG2        HBCS        ScaleStar        OPT
1        83.2        89.86        83.36        83.2
2        71.17        77.83        71.33        70.11
3        71.17        71.33        71.33        63.61
4        51.58        58.24        51.74        51.58
5        51.58        71.82        51.74        51.58
6        48.33        65.27        48.44        48.33
7        60.35        45.72        45.72        45.56
8        42.31        45.7        42.45        41.78
9        50.56        42.45        42.45        38.53
10        50.56        42.41        42.41        38.53
11        50.56        42.41        35.9        35.77
12        32.52        35.86        32.61        32.52
13        32.52        32.65        32.65        32.52
14        32.52        32.59        32.59        31.43
15        49.47        39.14        30.65        30.51
16        29.43        32.6        30.61        29.25
17        46.21        29.39        30.65        29.25
18        46.21        29.32        30.58        28.17
19        46.21        28.3        27.38        27.25
20        46.21        28.24        27.32        27.25
