cost        CG2        HBCS        ScaleStar        OPT
1        94.16        94.32        92.59        92.44
2        92.44        78.8        75.36        75.08
3        73.35        73.64        73.64        73.35
4        54.4        56.28        54.56        54.4
5        54.4        54.51        54.51        54.4
6        54.4        65.88        54.56        53.82
7        54.4        64.16        54.56        50.02
8        54.4        50.22        45.06        44.86
9        63.81        45.06        45.06        44.28
10        63.81        44.48        45.06        44.28
11        63.24        44.42        37.17        37.1
12        63.24        37.24        35.52        35.38
13        34.81        35.47        35.47        34.81
14        34.81        34.94        35.52        34.81
15        34.81        37.5        32.36        32.2
16        34.81        32.34        32.36        32.2
17        60.06        32.27        32.29        31.63
18        60.06        31.72        32.31        31.63
19        60.06        31.69        29.11        29.04
20        28.47        28.47        29.04        28.47
