cost        CG2        HBCS        ScaleStar        OPT
1        77.74        77.9        77.9        77.74
2        66.69        77.86        66.8        65.92
3        73.15        59.62        59.62        59.46
4        48.42        63.62        48.57        48.42
5        48.42        56.39        48.57        48.42
6        48.42        45.34        45.34        45.18
7        45.18        45.3        45.3        42.89
8        49.35        45.26        45.26        39.28
9        67.62        45.25        39.73        39.28
10        40.21        47.23        36.18        36.05
11        40.21        36.18        36.18        33.75
12        40.21        36.12        36.12        33.75
13        30.52        44.19        30.66        30.52
14        30.52        44.15        30.62        29.45
15        29.45        33.14        28.82        28.68
16        29.45        33.07        28.75        28.68
17        35.32        33.07        27.54        27.48
18        35.32        27.57        27.57        26.4
19        35.32        27.54        25.7        25.64
20        24.56        24.56        25.64        24.56
