cost        CG2        HBCS        ScaleStar        OPT
1        48.4        48.56        48.56        48.4
2        43.81        44.86        44.86        43.81
3        41.51        36.28        36.28        36.12
4        37.82        32.58        32.58        31.53
5        37.82        32.58        27.99        27.83
6        25.54        30.73        25.69        25.54
7        25.54        30.71        26.12        25.54
8        25.54        30.11        23.82        23.69
9        25.54        26.42        21.83        21.69
10        24.77        26.42        19.53        19.39
11        35.2        24.57        19.98        19.39
12        35.2        23.95        17.68        17.54
13        35.2        23.95        17.06        16.93
14        35.2        24.37        17.06        16.93
15        16.78        22.52        17.06        16.78
16        16.78        21.9        15.63        15.5
17        16.16        21.9        15.02        14.88
18        16.16        17.31        15.02        14.88
19        34.59        15.02        15.02        14.88
20        14.12        14.12        14.88        14.12
