cost        CG2        HBCS        ScaleStar        OPT
1        52.6        52.16        52.16        51.71
2        51.61        52.16        40.56        40.4
3        51.61        40.56        40.56        40.1
4        41.45        40.56        30.4        30.25
5        41.45        30.4        30.4        29.95
6        29.85        30.4        30.4        29.85
7        29.85        34.76        30.4        29.85
8        29.85        34.74        24.58        24.44
9        29.85        34.7        24.54        24.15
10        24.77        24.58        24.58        24.05
11        36.37        24.54        24.54        23.47
12        36.37        24.52        19.44        19.37
13        36.37        24.51        19.43        19.07
14        18.97        24.21        19.43        18.97
15        18.97        19.2        17.81        17.67
16        18.97        19.16        17.53        17.37
17        18.97        19.14        17.5        17.13
18        17.28        17.51        17.57        17.03
19        34.68        17.47        15.83        15.74
20        15.34        15.34        15.74        15.34
