cost        CG2        HBCS        ScaleStar        OPT
1        80.75        80.9        80.9        80.75
2        80.75        80.86        68.33        68.21
3        77.07        61.02        61.02        60.86
4        77.07        60.97        50.77        50.66
5        66.87        57.34        50.82        50.66
6        46.98        57.3        47.1        45.56
7        46.98        51.07        47.14        45.56
8        46.98        51.05        40.85        40.71
9        66.87        40.85        40.85        40.71
10        37.04        47.37        37.17        35.61
11        37.04        37.17        37.17        35.61
12        60.55        37.11        32.01        31.94
13        60.55        32.07        32.07        31.94
14        30.71        32.01        30.31        30.24
15        30.71        30.37        30.37        30.24
16        30.71        30.31        30.31        29.01
17        60.55        30.3        28.69        28.62
18        60.55        30.3        26.99        26.92
19        58.85        30.3        26.99        26.92
20        58.85        30.3        26.99        26.92
