cost        CG2        HBCS        ScaleStar        OPT
1        44.62        47.16        44.78        44.62
2        44.62        44.78        37.13        36.97
3        37.06        37.13        34.75        34.59
4        37.06        34.75        29.56        29.4
5        44.62        29.56        27.18        27.02
6        33.27        27.18        27.18        27.02
7        33.27        27.16        25.57        25.44
8        23.24        32.09        23.38        23.24
9        23.24        29.71        22.15        22.01
10        23.24        24.53        22.15        21.66
11        22.05        22.15        20.56        20.42
12        22.05        20.74        18.36        18.23
13        30.82        20.74        18.36        18.23
14        30.82        18.36        16.78        16.64
15        30.82        18.32        16.73        16.56
16        30.82        19.07        16.78        16.56
17        30.82        16.69        15.11        14.97
18        15.78        16.65        15.06        14.97
19        15.78        17.81        15.11        14.97
20        13.71        13.71        14.97        13.71
