cost        CG2        HBCS        ScaleStar        OPT
1        117.3        117.41        105.05        104.93
2        99.79        99.95        97.48        97.33
3        87.42        97.44        85.07        84.96
4        67.45        79.97        67.6        67.45
5        67.45        67.56        67.56        67.45
6        78.67        87.5        61.42        61.26
7        58.69        69.98        58.85        58.69
8        72.48        69.92        57.55        57.46
9        52.51        57.53        57.53        52.51
10        52.51        61.21        48.84        48.71
11        72.48        48.84        48.84        48.71
12        42.52        48.77        42.59        42.52
13        42.52        42.66        42.66        42.52
14        69.57        42.59        40.53        40.46
15        69.57        40.6        39.33        39.19
16        39.6        40.53        39.26        39.19
17        67.5        40.53        37.2        37.13
18        67.5        40.53        37.2        36.27
19        67.5        40.53        37.2        36.27
20        34.21        34.21        37.13        34.21
