cost        CG2        HBCS        ScaleStar        OPT
1        92.38        105.76        92.54        92.38
2        92.38        92.67        87.18        87.03
3        92.38        87.14        73.93        73.81
4        60.72        74.1        74.1        60.72
5        72.68        77.9        60.88        60.72
6        72.68        77.86        60.83        60.72
7        54.11        64.77        51.55        51.43
8        54.11        51.55        51.55        51.43
9        72.68        51.51        51.51        51.43
10        44.82        58.24        45.03        44.82
11        44.82        56.06        45.03        44.82
12        66.14        56.02        42.8        42.71
13        38.28        42.78        38.35        38.28
14        63.94        42.77        36.16        36.1
15        63.94        36.23        36.23        36.1
16        36.08        36.17        35.26        35.18
17        63.94        36.16        35.25        33.9
18        63.94        34.03        33.14        33
19        32.98        33.97        33.08        32.98
20        30.8        30.8        33        30.8
