cost        CG2        HBCS        ScaleStar        OPT
1        78.78        78.94        78.94        78.78
2        78.78        78.9        69.21        69.1
3        69.1        69.25        69.25        57.88
4        53.2        69.19        66.68        53.2
5        53.2        64.41        48.34        48.18
6        45.68        64.34        45.77        45.68
7        45.68        64.34        45.76        43.34
8        45.68        43.48        44.98        42.75
9        42.75        43.41        40.9        37.73
10        37.9        43.41        40.06        35.22
11        37.9        40.9        38.45        32.89
12        37.9        40.9        38.45        32.89
13        37.9        40.9        30.44        30.38
14        29.54        30.47        29.64        28.76
15        29.54        30.44        27.99        27.93
16        29.54        30.44        27.99        27.93
17        34.42        30.44        27.99        27.93
18        32.8        30.44        27.99        26.89
19        32.8        27.03        28.06        25.28
20        32.8        26.96        28        25.28
