cost        CG2        HBCS        ScaleStar        OPT
1        72.11        79.96        72.26        72.11
2        72.11        72.26        72.26        66.12
3        53.58        68.42        59.73        53.58
4        45.88        68.42        46.04        45.88
5        45.88        55.88        46.04        45.88
6        42.04        42.2        42.2        42.04
7        42.04        42.15        42.15        39.04
8        46.74        49.59        42.18        39.04
9        40.47        49.55        35.86        35.2
10        40.47        35.91        35.91        32.77
11        40.47        35.84        35.84        32.77
12        28.93        35.84        28.99        28.93
13        28.93        29.06        29.06        28.93
14        27.65        29        29        27.65
15        27.65        28.99        26.9        26.65
16        38.19        26.78        26.97        26.65
17        36.1        26.74        26.93        25.56
18        36.1        26.71        26.9        24.56
19        36.1        26.71        26.9        24.56
20        23.28        23.28        26.84        23.28
