cost        CG2        HBCS        ScaleStar        OPT
1        60.6        60.76        55.06        54.9
2        56.86        55.06        51.32        51.16
3        56.86        52.21        51.32        44.28
4        40.54        52.21        38.74        38.59
5        40.54        48.48        35        34.85
6        40.54        35.9        35        34.85
7        34.85        32.16        32.16        32
8        54.99        32.13        30.26        30.13
9        54.99        32.09        29.6        26.69
10        30.51        30.26        29.31        26.69
11        24.82        27.71        23.97        23.84
12        24.82        23.97        22.1        21.97
13        21.97        23.93        21.44        21.34
14        21.34        21.48        20.53        20.4
15        54.37        21.44        20.49        20.4
16        54.37        21.42        20.47        20.4
17        27.17        24.99        20.53        20.4
18        27.17        21.25        20.53        19.25
19        18.62        21.21        20.49        18.62
20        17.68        17.68        20.4        17.68
