cost        CG2        HBCS        ScaleStar        OPT
1        100.97        101.12        101.12        100.97
2        91.02        101.08        88.8        88.68
3        82.99        80.81        80.81        80.65
4        82.99        80.75        76.73        70.71
5        78.97        76.75        62.79        62.68
6        58.66        78.68        58.82        58.66
7        58.66        70.65        58.82        58.66
8        69.98        66.64        52.68        52.52
9        49.67        66.62        52.65        49.67
10        49.67        48.64        48.64        48.5
11        69.98        48.57        48.57        43.53
12        69.98        48.57        45.18        43.53
13        68.65        48.57        39.58        39.51
14        68.65        39.61        39.61        39.51
15        38.17        39.58        39.58        38.17
16        65.65        39.58        36.19        36.13
17        65.65        36.61        36.22        34.79
18        35.18        36.58        36.19        34.79
19        65.65        36.58        33.2        33.13
20        31.79        31.79        33.13        31.79
