cost        CG2        HBCS        ScaleStar
2        519.1        519.1        519.1
3        502.52        504.22        504.22
4        334.65        487.65        334.65
5        318.08        319.78        319.78
6        303.2        303.2        303.2
7        292.72        294.91        292.72
8        289.95        294.91        292.72
9        227.55        227.55        227.55
10        210.98        210.98        210.98
11        205.45        205.45        206.02
12        197.73        202.69        200.49
13        195.25        229.96        200.49
14        180.23        180.23        200.49
15        174.71        174.71        175.28
16        167.27        171.95        169.75
17        164.51        171.95        169.75
18        164.51        181.44        169.75
19        164.51        159.34        169.75
20        154.38        156.58        169.75
21        149.14        149.14        169.75
