cost        CG2        HBCS        ScaleStar        OPT
1        48.5        48.66        43.09        42.93
2        48.5        43.98        43.98        42.93
3        38.13        41.64        38.42        38.13
4        38.13        36.08        36.08        32.56
5        31.12        36.08        28.04        27.89
6        31.12        33.29        25.71        25.55
7        25.93        33.27        22.9        22.7
8        25.93        33.23        22.86        20.37
9        20.37        22.9        21.97        19.92
10        27.38        22.86        17.68        17.58
11        27.38        22.84        17.65        17.58
12        19.59        17.72        16.79        16.65
13        19.59        17.68        16.75        16.65
14        19.59        17.65        16.72        16.65
15        22.87        17.65        16.72        15.85
16        22.87        17.65        16.72        15.85
17        22.87        15.99        16.79        14.92
18        22.87        15.95        16.75        14.92
19        15.07        15.93        16.73        14.92
20        14.15        14.15        16.65        14.15
