cost        CG2        HBCS        ScaleStar        OPT
1        101        101.16        92.7        92.54
2        87.4        87.56        87.56        80.13
3        80.13        79.1        79.1        71.68
4        71.68        79.04        79.04        66.53
5        58.08        72.3        58.23        58.08
6        58.08        72.26        58.19        58.08
7        51.28        72.23        51.36        51.28
8        51.28        68.05        51.41        47.64
9        61.24        67.99        47.12        47.05
10        40.84        47.18        45.77        40.84
11        57.01        47.11        45.7        40.84
12        36.61        47.11        36.68        36.61
13        36.61        36.75        35.34        35.2
14        36.61        36.68        35.28        35.2
15        34.35        36.68        35.27        34.35
16        34.35        36.68        35.27        32.94
17        53.53        36.68        35.27        32.94
18        53.53        35.27        35.27        31.72
19        52.12        31.82        35.3        31.72
20        29.46        29.46        35.2        29.46
