cost        CG2        HBCS        ScaleStar        OPT
1        66.8        66.96        61.98        61.83
2        58.09        61.98        58.24        58.09
3        58.09        47.28        47.28        47.12
4        58.09        42.31        42.31        42.15
5        55.6        38.57        38.57        38.41
6        55.6        39.82        36.7        36.54
7        35.92        38.99        36.08        35.92
8        34.05        38.97        34.19        32.31
9        34.05        32.45        28.71        28.57
10        53.73        32.45        28.71        28.57
11        53.73        28.71        26.84        26.7
12        53.73        29.96        26.22        26.08
13        24.22        29.13        24.35        24.22
14        23.39        34.14        23.52        23.39
15        22.76        29.17        22.9        22.76
16        22.76        25.43        22.9        22.76
17        22.76        26.68        22.9        22.76
18        52.28        25.85        21.07        20.94
19        52.28        25.85        20.45        20.31
20        19.48        19.48        19.48        19.48
