cost        CG2        HBCS        ScaleStar        OPT
1        54        54.16        52.46        52.3
2        51.45        51.61        42.17        42.02
3        41.17        51.61        41.32        32.75
4        41.17        41.32        31.21        31.05
5        32.75        30.36        30.36        30.2
6        29.92        30.32        30.32        27.61
7        29.92        36.16        30.34        25.91
8        27.61        36.16        25.19        24.72
9        24.77        25.19        25.19        24.72
10        24.77        25.15        25.15        22.12
11        24.77        25.12        19.64        19.58
12        22.12        25.12        19.64        19.58
13        19.29        19.71        19.71        19.29
14        19.29        19.65        17.82        17.75
15        19.29        19.64        17.81        17.75
16        20.41        17.88        17.88        17.46
17        17.58        17.82        17.82        17.46
18        17.58        17.81        17.81        16.88
19        17.58        17.81        17.81        16.03
20        15.75        15.75        17.75        15.75
