cost        CG2        HBCS        ScaleStar        OPT
1        100.8        111.76        100.96        100.8
2        100.8        91.15        91.15        90.99
3        80.19        80.35        75.12        74.96
4        80.19        75.08        64.29        64.17
5        64.17        64.29        64.29        64.17
6        64.17        80.84        58.93        58.77
7        79.38        64.82        56.32        56.16
8        79.38        64.75        53.96        53.86
9        79.38        53.96        53.96        50.76
10        48.47        56.78        45.99        45.85
11        71.37        45.99        45.99        45.85
12        71.37        54.11        45.99        45.85
13        40.46        43.32        40.59        40.46
14        40.46        43.25        38.73        38.66
15        71.37        43.25        37.85        37.78
16        69.57        37.88        37.88        37.78
17        69.57        36.12        36.12        35.99
18        35.22        36.06        36.06        35.22
19        66.9        36.05        36.05        34.35
20        32.55        32.55        35.99        32.55
