cost        CG2        HBCS        ScaleStar        OPT
1        49.7        47.82        47.82        47.66
2        46.64        46.8        39.23        39.08
3        46.64        39.36        37.32        37.16
4        36.14        37.32        36.3        28.58
5        36.14        36.3        27.71        27.56
6        35.8        32.07        27.71        27.56
7        46.3        32.05        23.46        23.33
8        37.71        31.03        22.44        22.31
9        37.71        31.03        22.44        22.31
10        21.97        22.44        22.44        21.08
11        21.97        22.4        22.4        19.04
12        21.97        22.37        18.08        17.61
13        21.97        18.15        16.72        16.59
14        37.71        18.15        16.72        16.59
15        33.42        16.72        16.72        16.25
16        33.42        16.68        16.68        16.25
17        33.42        16.66        16.66        16.25
18        33.42        16.65        16.65        15.86
19        15.93        16.65        16.65        14.84
20        14.5        14.5        16.59        14.5
