cost        CG2        HBCS        ScaleStar        OPT
1        91        91.16        84.1        83.94
2        79.06        84.1        84.1        71.32
3        79.06        64.42        64.42        64.27
4        59.38        64.38        64.38        59.38
5        52.32        52.48        52.48        52.32
6        52.32        52.42        52.42        52.32
7        46.35        54.59        47.78        46.35
8        46.35        54.57        47.76        42.49
9        73.09        42.62        42.96        42.49
10        43.57        42.56        39.03        38.96
11        36.52        42.55        37.85        36.52
12        36.52        36.65        37.92        36.52
13        32.99        36.59        33.06        32.99
14        32.99        39.3        31.91        31.81
15        41.58        31.91        31.91        31.81
16        31        31.88        29.89        29.82
17        38.3        34.58        29.89        29.71
18        38.3        34.57        28.6        28.53
19        38.3        28.67        28.67        28.53
20        26.54        26.54        28.53        26.54
