cost        CG2        HBCS        ScaleStar        OPT
1        110        110.16        110.16        110
2        95.3        92.86        92.86        92.7
3        80.55        78.11        78.11        77.96
4        80.55        78.05        63.34        63.25
5        63.25        84.21        63.41        63.25
6        87.94        69.46        63.41        63.25
7        87.94        54.76        54.76        54.6
8        65.82        54.67        54.67        54.6
9        48.52        62.07        47.36        47.23
10        48.52        47.36        47.36        47.23
11        65.82        47.29        47.29        47.23
12        39.88        47.29        39.94        39.88
13        39.88        39.97        39.97        39.88
14        39.88        39.94        37.06        36.99
15        60.91        39.94        37.06        36.99
16        60.91        37.52        37.09        36.99
17        60.91        37.49        37.06        34.53
18        34.97        37.49        37.06        34.53
19        60.91        37.49        37.06        34.53
20        32.08        32.08        36.99        32.08
