cost        CG2        HBCS        ScaleStar        OPT
1        107.3        107.46        107.46        107.3
2        92.6        96.92        96.92        86.94
3        82.06        91.65        82.21        72.24
4        82.06        76.94        76.94        61.7
5        72.24        76.88        61.79        61.7
6        64.88        56.58        56.58        56.43
7        64.88        69.59        56.58        54.34
8        49.07        69.5        56.5        49.07
9        49.07        49.21        49.21        46.25
10        49.07        49.15        49.15        46.25
11        49.07        49.14        49.14        44.17
12        38.9        49.14        38.96        38.9
13        54.71        39.03        39.03        38.9
14        54.71        38.96        38.96        38.9
15        52.26        38.96        35.57        35.5
16        52.26        35.58        35.58        35.5
17        52.26        35.57        35.57        33.75
18        34.69        35.57        35.57        33.05
19        34.69        35.57        35.57        33.05
20        31.3        31.3        35.5        31.3
