cost        CG2        HBCS        ScaleStar        OPT
1        89.91        89.62        89.62        89.31
2        90.8        89.58        89.58        73.33
3        69.68        72.15        72.15        69.23
4        70.57        72.09        72.09        69.08
5        52.21        51.92        51.92        51.61
6        52.21        63.42        51.92        51.61
7        51.61        63.38        51.88        51.61
8        51.61        63.35        43.12        43.03
9        42.99        43.17        43.17        41.65
10        60.46        43.12        43.12        41.5
11        60.46        43.1        43.1        41.5
12        60.46        43.1        40.18        39.97
13        34.25        43.1        32.98        32.92
14        32.77        33.05        33.05        32.77
15        32.77        32.99        32.99        32.77
16        32.77        32.98        30.07        29.54
17        29.39        32.98        30.07        29.39
18        57.08        29.64        30.1        29.39
19        57.08        29.61        30.07        29.39
20        26.48        26.48        26.63        26.48
