cost        CG2        HBCS        ScaleStar        OPT
1        106.4        106.56        106.56        106.4
2        94.08        88.11        88.11        87.96
3        75.63        75.79        75.79        73.5
4        79.62        75.74        75.74        73.5
5        61.18        78.89        61.34        61.18
6        61.18        78.85        61.29        61.18
7        55.02        66.52        55.13        53.96
8        55.02        52.12        52.12        51.96
9        73.46        60.38        52.09        51.55
10        45.8        60.34        45.89        45.8
11        66.24        45.93        45.93        44.73
12        66.24        45.86        45.86        42.32
13        38.57        45.86        38.64        38.57
14        38.57        38.71        38.71        38.57
15        36.52        38.64        36.58        36.16
16        36.52        36.26        35.59        35.5
17        64.18        36.23        35.56        34.11
18        61.78        36.23        33.15        33.09
19        61.78        36.23        33.51        33.09
20        31.03        31.03        33.44        31.03
