cost        CG2        HBCS        ScaleStar        OPT
1        98.95        99.1        99.1        98.95
2        78.34        89.24        81.89        78.34
3        95.27        81.89        81.89        78.34
4        74.66        68.63        61.28        61.12
5        74.66        80.64        61.28        61.12
6        57.45        60.03        57.6        57.45
7        57.45        52.67        52.67        52.52
8        64.35        52.61        48.93        50.82
9        47.14        48.98        48.98        47.14
10        47.14        49.7        42.35        42.21
11        64.35        42.35        42.35        42.21
12        63.13        42.28        38.6        38.53
13        63.13        38.67        38.67        38.53
14        37.31        38.6        38.6        37.31
15        37.31        38.91        35.8        35.66
16        59.69        38.84        35.73        34.44
17        59.69        35.23        35.8        34.44
18        33.87        35.16        35.73        33.87
19        59.69        33.97        35.76        32.23
20        31        31        35.66        31
