cost        CG2        HBCS        ScaleStar        OPT
1        40        40.16        38.29        38.13
2        37.49        38.29        35.78        35.62
3        34.69        37.35        34.84        34.69
4        34.69        27.54        25.67        25.51
5        34.69        25.67        23.16        23
6        22.06        24.73        22.22        22.06
7        34.38        24.71        22.2        22.06
8        34.38        24.71        22.2        21.07
9        21.75        22.2        20.53        18.56
10        21.75        19.33        16.83        16.69
11        21.75        18.4        15.89        15.75
12        33.12        18.4        15.89        15.02
13        33.12        15.89        14.22        14.08
14        33.12        15.85        14.18        14.08
15        14.19        19.1        14.22        13.77
16        14.19        17.23        14.22        13.65
17        14.19        16.29        14.22        12.91
18        14.19        13.79        12.11        11.98
19        33.12        13.79        12.11        11.98
20        11.67        11.67        11.98        11.67
