cost        CG2        HBCS        ScaleStar        OPT
1        83.7        83.86        76.97        76.82
2        67.64        71.23        71.23        67.64
3        67.64        64.35        64.35        60.75
4        55.01        60.91        60.91        55.01
5        48.13        64.92        48.29        48.13
6        52.72        58.04        44.84        44.68
7        52.72        54.6        41.97        41.82
8        40.1        54.53        38.47        38.37
9        40.1        38.51        38.51        36.65
10        49.28        38.45        38.45        33.78
11        30.34        38.44        30.41        30.34
12        30.34        38.44        30.41        30.34
13        30.34        30.44        30.44        29.19
14        46.6        30.41        28.3        28.24
15        46.6        30.41        28.3        28.24
16        27.66        30.41        28.3        27.09
17        46.6        27.8        28.37        27.09
18        45.45        27.74        28.31        26.52
19        45.45        27.73        28.3        25.56
20        24.41        24.41        28.24        24.41
