cost        CG2        HBCS        ScaleStar        OPT
1        64.34        66.96        64.49        64.34
2        64.34        64.49        58.03        57.88
3        55.41        58.03        55.57        47.34
4        55.41        55.52        40.99        40.88
5        47.34        53.57        38.57        38.41
6        47.34        51.06        36.88        36.41
7        33.95        36.57        34.11        33.95
8        33.95        34.08        32.44        32.3
9        33.95        34.04        32.4        32.3
10        33.95        32.44        32.44        29.91
11        37.6        32.38        32.38        27.91
12        37.6        28.05        25.58        25.45
13        37.6        25.58        23.94        23.8
14        37.6        23.94        23.94        23.8
15        37.6        23.9        23.9        23.8
16        22.73        25.22        23.94        22.32
17        22.73        22.75        21.11        20.97
18        22.73        21.11        21.11        20.97
19        34.77        21.06        21.06        20.97
20        19.48        19.48        20.97        19.48
