cost        CG2        HBCS        ScaleStar        OPT
1        45.81        50.86        45.97        45.81
2        39.69        45.97        39.85        39.69
3        39.69        39.85        35.43        35.27
4        29.15        35.43        35.43        29.15
5        29.15        29.31        29.31        29.15
6        29.15        32.99        29.31        28.77
7        29.15        32.96        26.84        23.88
8        41.52        32.92        26.8        23.88
9        25.71        27.7        21.58        20.82
10        25.71        27.7        21.58        20.82
11        25.71        21.58        20.76        20.62
12        18.38        21.51        18.45        18.38
13        18.38        18.52        17.7        17.56
14        18.38        18.47        17.66        17.36
15        18.38        18.45        17.64        17.36
16        22.93        17.5        17.7        16.54
17        22.93        17.43        17.64        16.54
18        22.93        17.42        17.63        15.81
19        22.93        16.72        17.66        15.6
20        14.79        14.79        17.56        14.79
