cost        CG2        HBCS        ScaleStar        OPT
1        62.4        59.63        59.63        59.47
2        54.84        59.58        52.02        51.9
3        54.84        58.16        52.06        43.45
4        50.44        50.59        36.04        35.88
5        50.44        50.55        36        35.88
6        51.05        46.81        34.57        32.1
7        51.05        46.79        34.55        32.1
8        35.03        46.75        30.73        30.63
9        35.03        30.77        30.77        27.87
10        30.14        30.73        30.73        26.4
11        30.14        30.7        30.7        24.09
12        30.14        30.7        22.69        22.62
13        30.14        22.76        22.76        22.62
14        25.76        22.71        22.71        21.42
15        25.76        22.69        22.69        21.36
16        25.76        22.69        20.01        19.95
17        20.87        20.09        20.09        19.95
18        20.87        20.02        20.02        18.69
19        20.87        20.01        20.01        18.69
20        18.2        18.2        19.95        18.2
