cost        CG2        HBCS        ScaleStar        OPT
1        23        25.16        23.16        23
2        25        25.16        22.78        22.62
3        22        22.78        20.78        16.76
4        22        20.78        16.53        16.37
5        15.76        16.53        14.53        14.38
6        13.38        16.51        13.51        13.38
7        13.38        21.17        13.51        13.38
8        13.38        19.17        12.92        12.79
9        13.38        14.92        11.93        11.25
10        10.25        12.92        11.93        10.25
11        21.67        12.92        11.93        10.25
12        12.3        11.93        9.8        9.66
13        9.92        11.8        8.8        8.67
14        9.92        11.8        8.8        8.67
15        12.3        9.8        8.8        8.67
16        8.73        8.8        8.8        8.33
17        8.73        8.8        8.8        8.33
18        11.26        10.76        8.8        7.62
19        11.26        8.76        8.8        7.62
20        7.29        7.29        8.67        7.29
