cost        CG2        HBCS        ScaleStar
2        161.05        161.05        161.05
3        128.75        161.05        161.05
4        105.8        149.58        149.58
5        105.8        149.58        105.8
6        94.32        149.58        94.32
7        90.5        94.32        94.32
8        78.18        94.32        90.5
9        66.7        94.32        90.5
10        62.88        66.7        66.7
11        66.7        66.7        66.7
12        62.88        66.7        62.88
13        57.49        57.49        62.88
14        53.67        57.49        62.88
15        53.67        57.49        62.88
16        53.67        57.49        53.67
17        51.75        52.89        53.67
18        51.75        52.89        53.67
19        49.06        52.89        53.67
20        47.15        52.89        53.67
21        47.15        47.15        53.67
