cost        CG2        HBCS        ScaleStar        OPT
1        50.2        50.36        46.87        46.72
2        44.97        46.57        43.09        42.93
3        41.19        43.09        36.29        36.13
4        41.19        36.29        32.81        32.65
5        41.19        32.51        29.02        28.86
6        27.12        29.02        27.28        27.12
7        27.12        29.26        27.13        25.61
8        25.23        29.24        25.37        23.87
9        25.23        25.75        21.97        21.83
10        24.65        25.45        20.23        19.94
11        38.72        23.56        18.33        18.2
12        38.72        22.93        17.7        17.57
13        38.72        19.45        17.7        17.57
14        17.62        26.89        17.7        17.57
15        16.99        23.11        17.7        16.99
16        16.99        19.62        17.7        16.99
17        16.99        21.22        17.7        15.85
18        38.09        20.59        17.7        15.22
19        38.09        17.1        17.7        15.22
20        14.64        14.64        17.57        14.64
