cost        CG2        HBCS        ScaleStar        OPT
1        80.6        80.76        76.29        76.14
2        73.91        67.33        67.33        64.24
3        60.48        62.86        60.63        59.78
4        57.54        50.96        50.96        50.81
5        44.11        60.61        44.27        44.11
6        44.11        56.15        44.27        44.11
7        44.11        44.25        44.27        42.63
8        44.11        44.23        37.54        35.93
9        48.62        37.54        37.54        35.91
10        48.62        36.05        31.58        31.45
11        48.62        31.58        29.35        29.22
12        48.62        29.35        29.35        29.22
13        28.47        29.28        29.28        28.47
14        28.47        28.61        29.35        26.98
15        28.47        33.32        29.35        26.49
16        28.47        26.63        29.35        26.24
17        45.89        26.56        29.29        25.75
18        45.89        25.88        29.35        24.25
19        45.89        25.82        29.29        24.25
20        45.89        25.81        29.28        24.25
