cost        CG2        HBCS        ScaleStar        OPT
1        80.8        80.96        80.96        80.8
2        73.19        69.99        69.99        65.03
3        62.23        62.38        54.22        54.07
4        69.39        54.22        54.22        54.07
5        58.42        64.51        46.62        46.46
6        42.66        56.9        42.81        42.66
7        42.66        48.74        42.81        42.66
8        53.62        48.68        41.07        38.58
9        37.17        41.11        37.31        37.17
10        37.17        37.31        37.31        34.77
11        37.17        40.84        33.23        33.09
12        44.47        33.23        33.23        33.09
13        44.47        33.17        29.36        29.29
14        44.47        38.21        29.43        29.29
15        28.02        30.6        27.6        27.46
16        44.47        30.54        27.54        26.66
17        44.47        26.8        27.6        26.66
18        26.19        26.73        24.91        24.83
19        26.19        25.53        24.97        24.83
20        23.57        23.57        24.83        23.57
