cost        CG2        HBCS        ScaleStar
2        376.45        376.45        376.45
3        342        376.45        376.45
4        247.25        349.68        247.25
5        220.48        430        220.48
6        211.55        376.45        211.55
7        196.65        349.68        247.25
8        196.65        220.48        220.48
9        196.65        220.48        211.55
10        155.88        155.88        155.88
11        146.95        155.88        146.95
12        134.34        134.34        146.95
13        125.42        134.34        155.88
14        123.98        155.88        146.95
15        123.98        134.34        146.95
16        125.42        134.34        125.42
17        120.95        123.58        125.42
18        114.65        123.58        125.42
19        110.19        114.65        125.42
20        110.19        114.65        125.42
21        110.19        110.19        125.42
